Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2009 - Q3,1763272.0,1064055.0,849768.0,214287.0,693012.0,114.0,10907.0,0.0
2010 - Q1,2413001.0,1668512.0,1428306.0,240206.0,738164.0,286.0,11607.0,76.91
2010 - Q2,2308843.0,1619225.0,1387654.0,231571.0,683982.0,392.0,10765.0,63.8
2010 - Q3,2158498.0,1432047.0,1179421.0,252626.0,721339.0,793.0,11353.0,25.47
2010 - Q4,2158498.0,1432047.0,1179421.0,252626.0,721339.0,1309.0,11353.0,15.12
2011 - Q1,1733319.0,1034036.0,892978.0,141058.0,695247.0,1239.0,10943.0,12.27
2011 - Q2,1560581.0,859733.0,713539.0,146194.0,697271.0,1175.0,10974.0,7.58
2011 - Q3,1711745.0,1013214.0,861687.0,151527.0,692011.0,723.0,10276.0,11.76
2011 - Q4,1490644.0,875083.0,756825.0,118258.0,604635.0,-774.0,8979.0,-7.75
2012 - Q1,1515531.0,928674.0,812685.0,115989.0,580462.0,-919.0,8620.0,-7.07
2012 - Q2,1716360.0,1118506.0,915518.0,202988.0,599999.0,-642.0,8910.0,-8.1
2012 - Q3,1828572.0,1190791.0,970185.0,220606.0,608780.0,-615.0,9040.0,-5.69
2012 - Q4,1721341.0,1061301.0,870460.0,190841.0,590873.0,329.0,8774.0,14.3
2013 - Q1,1674172.0,1063367.0,876021.0,187346.0,567341.0,288.0,8425.0,19.76
2013 - Q2,1568126.0,950919.0,747485.0,203434.0,574214.0,87.0,8527.0,51.63
2013 - Q3,1662349.0,1012609.0,784263.0,228346.0,603405.0,412.0,8960.0,9.94
2013 - Q4,1677188.0,1034064.0,818326.0,215738.0,593426.0,332.0,8812.0,13.55
2014 - Q1,1674876.0,1026562.0,773199.0,253363.0,597980.0,607.0,8880.0,12.84
2014 - Q2,1563872.0,883823.0,600723.0,283100.0,628838.0,1000.0,9338.0,6.3
2014 - Q3,1755044.0,1032541.0,706797.0,325744.0,666603.0,1193.0,9899.0,7.29
2014 - Q4,1812792.0,1068430.0,788821.0,279609.0,744361.0,1584.0,10178.0,5.62
2015 - Q1,2024813.0,1023908.0,791907.0,232001.0,1000905.0,1641.0,14863.0,6.89
2015 - Q2,2005533.0,972546.0,825834.0,146712.0,1032987.0,1661.0,15339.0,9.39
2015 - Q3,2118466.0,1032651.0,881118.0,151533.0,1085814.0,1713.0,16124.0,8.29
2015 - Q4,2204683.0,1096204.0,978444.0,117760.0,1108479.0,1664.0,16460.0,8.95
2016 - Q1,2375324.0,1254158.0,1073959.0,180199.0,1121166.0,1741.0,16649.0,8.96
2016 - Q2,2424911.0,1329196.0,1155455.0,173741.0,1095715.0,1768.0,16271.0,8.2
2016 - Q3,2482220.0,1332763.0,1202000.0,130763.0,1149457.0,1765.0,17352.0,9.63
2016 - Q4,2361050.0,1181257.0,1096861.0,84396.0,1179793.0,1849.0,17810.0,8.11
2017 - Q1,2612221.0,1408665.0,1294824.0,113841.0,932613.0,1938.0,14079.0,7.38
2017 - Q2,2716193.0,1509960.0,1300424.0,209536.0,935623.0,2447.0,14124.0,6.74
2017 - Q3,3120977.0,1851567.0,1647550.0,204017.0,1269410.0,2567.0,19163.0,6.51
2017 - Q4,2996698.0,1729218.0,1428124.0,301094.0,1267481.0,2484.0,18822.0,11.67
2018 - Q1,3292410.0,1995146.0,1635004.0,360142.0,1297264.0,2651.0,19264.0,11.92
2018 - Q2,3371430.0,2064251.0,1726815.0,337436.0,1307179.0,2315.0,19411.0,9.2
2018 - Q3,3593510.0,2223016.0,1877812.0,345204.0,1370494.0,2251.0,20351.0,10.66
2018 - Q4,3852081.0,2466374.0,1809968.0,656406.0,1385707.0,2329.0,19231.0,10.3
2019 - Q1,4035649.0,2653437.0,1920682.0,732755.0,1382212.0,1865.0,19183.0,16.09
2019 - Q2,4675083.0,2439995.0,1709516.0,730479.0,2235046.0,1854.0,31019.0,20.34
2019 - Q3,4724331.0,2461109.0,1686628.0,774481.0,2263222.0,2015.0,22632.0,18.66
2019 - Q4,4648618.0,2375090.0,1663712.0,711378.0,2273528.0,1851.0,22735.0,19.39
2020 - Q1,4958111.0,2664478.0,1884668.0,779810.0,2293633.0,1938.0,22936.0,11.61
2020 - Q2,5049690.0,2691872.0,1888453.0,803419.0,2357818.0,1776.0,23578.0,17.48
2020 - Q3,5101363.0,2756197.0,2008380.0,747817.0,2345166.0,1749.0,23452.0,19.84
2020 - Q4,5028879.0,2629969.0,1991382.0,638587.0,2398910.0,1843.0,23989.0,20.62
2021 - Q1,5253316.0,2867035.0,2153015.0,714020.0,2386282.0,2000.0,23863.0,18.0
2021 - Q2,5446220.0,2965026.0,2218167.0,746859.0,2481194.0,2284.0,24812.0,16.33
2021 - Q3,5996182.0,3405804.0,2522802.0,883002.0,2590378.0,2549.0,25904.0,23.07
2021 - Q4,6170471.0,3508931.0,2593666.0,915265.0,2661539.0,2610.0,26615.0,22.99
2022 - Q1,6444621.0,3628964.0,2810814.0,818150.0,2815657.0,2938.0,25832.0,21.44
2022 - Q2,6677892.0,3715804.0,2867980.0,847824.0,2962088.0,3025.0,27175.0,19.34
2022 - Q3,6922756.0,3847108.0,2881133.0,965975.0,3075648.0,3085.0,28217.0,14.85
2022 - Q4,6641662.0,3506610.0,2714102.0,792508.0,3135052.0,2818.0,20818.0,14.19
2023 - Q1,6973847.0,3802847.0,2994574.0,808273.0,3171000.0,2608.0,21056.0,15.3
2023 - Q2,6947863.0,3707986.0,2836005.0,871981.0,3239877.0,2246.0,21514.0,20.57
