Period,Lưu chuyển tiền thuần trong kỳ
Q3 2010,-1116312913.0
Q4 2010,-2150389909.0
Q1 2011,1478845750.0
Q2 2011,-105123492.0
Q3 2011,-3512257819.0
Q4 2011,11186144990.0
Q1 2012,-4879369843.0
Q2 2012,3573865282.0
Q3 2012,6432369650.0
Q4 2012,-6042566989.0
Q1 2013,11263226057.0
Q2 2013,-5109192075.0
Q3 2013,-2505015513.0
Q4 2013,-3797794142.0
Q1 2014,1554276570.0
Q2 2014,-4986677085.0
Q3 2014,2176005882.0
Q1 2015,10223109854.0
Q2 2015,4614707203.0
Q3 2015,-1558208699.0
Q4 2015,-14374821471.0
Q1 2016,3249880505.0
Q2 2016,900523366.0
Q3 2016,-10001261753.0
Q4 2016,25455857045.0
Q1 2017,-2681260570.0
Q2 2017,-21661816944.0
Q3 2017,13983413944.0
Q4 2017,22261614943.0
Q1 2018,-20121569074.0
Q2 2018,-1981747727.0
Q3 2018,-2200331144.0
Q4 2018,17840169305.0
Q1 2019,-10976409641.0
Q2 2019,19411778986.0
Q3 2019,-21072729270.0
Q4 2019,14448823716.0
Q1 2020,1164195791.0
Q2 2020,7957473206.0
Q3 2020,-2555826634.0
Q4 2020,2465574452.0
Q1 2021,11830125912.0
Q2 2021,9524406935.0
Q3 2021,4539487720.0
Q4 2021,-13780896829.0
Q1 2022,4213082385.0
Q2 2022,-25265441931.0
Q3 2022,29155640662.0
Q4 2022,2890143466.0
Q1 2023,-27638907314.0
Q2 2023,5042687889.0
Q3 2023,13720363613.0
