FPT,Tập Đoàn FPT (FPT),1269968875,33.46
ITD,CTCP Công Nghệ Tiên Phong (ITD),24461403,33.46
CMG,CTCP Tập Đoàn Công Nghệ CMC (CMG),150577932,33.46
ONE,CTCP Công Nghệ ONE (ONE),7893658,33.46
CKV,CTCP COKYVINA (CKV),4012000,33.46
KST,CTCP KASATI (KST),5992020,33.46
UNI,CTCP Đầu Tư và Phát Triển Sao Mai Việt (UNI),15617632,33.46
HIG,CTCP Tập Đoàn HiPT (HIG),22559030,33.46
POT,CTCP Thiết Bị Bưu Điện (POT),19430006,33.46
SAM,CTCP SAM HOLDINGS (SAM),379960971,33.46
SGT,CTCP Viễn Thông Sài Gòn Saigontel (SGT),148003208,33.46
SMT,CTCP SAMETEL (SMT),5467432,33.46
SRA,CTCP Sara Việt Nam (SRA),43199974,33.46
ST8,CTCP Đầu Tư và Phát Triển ST8 (ST8),25720902,33.46
VLA,CTCP Đầu tư và Phát Triển Công Nghệ Văn Lang (VLA),3995996,33.46
